term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,df,idf,dfidf
1112,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1112,1112,1112,0.029939594356623953,1,8.353146825498083,8.353146825498083
1114,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1114,1114,1114,0.000874583480839502,1,8.353146825498083,8.353146825498083
112,3,3,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,112,112,112,0.01394756488538987,2,7.353146825498083,14.706293650996166
112192,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,112192,112192,112192,0.000874583480839502,1,8.353146825498083,8.353146825498083
112a,2,4,4.578408682494225e-06,17.736722321395185,IN,2,"{'NN', 'IN'}",0,112a,112a,112a,0.013562623684180672,2,7.353146825498083,14.706293650996166
112b,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,112b,112b,112b,0.013562623684180672,2,7.353146825498083,14.706293650996166
113,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,113,113,113,0.059879188713247905,1,8.353146825498083,8.353146825498083
1134,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1134,1134,1134,0.000874583480839502,1,8.353146825498083,8.353146825498083
1136,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1136,1136,1136,0.000874583480839502,1,8.353146825498083,8.353146825498083
113a,2,4,4.578408682494225e-06,17.736722321395185,VB,2,"{'NN', 'VB'}",0,113a,113a,113a,0.013562623684180672,2,7.353146825498083,14.706293650996166
113b,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,113b,113b,113b,0.013562623684180672,2,7.353146825498083,14.706293650996166
113c,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,113c,113c,113c,0.013562623684180672,2,7.353146825498083,14.706293650996166
11419,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,11419,11419,11419,0.029939594356623953,1,8.353146825498083,8.353146825498083
1145,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1145,1145,1145,0.000874583480839502,1,8.353146825498083,8.353146825498083
115,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,115,115,115,0.029939594356623953,1,8.353146825498083,8.353146825498083
1151,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1151,1151,1151,0.009804162940725449,1,8.353146825498083,8.353146825498083
115a,2,4,4.578408682494225e-06,17.736722321395185,VBP,2,"{'VBP', 'NN'}",0,115a,115a,115a,0.013562623684180672,2,7.353146825498083,14.706293650996166
115b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,115b,115b,115b,0.013562623684180672,2,7.353146825498083,14.706293650996166
116,8,3,1.83136347299769e-05,15.736722321395185,CD,2,"{'CD', 'NN'}",0,116,116,116,1.6148837840696635,4,6.353146825498083,25.412587301992332
1165,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1165,1165,1165,0.029939594356623953,1,8.353146825498083,8.353146825498083
117,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,117,117,117,0.029939594356623953,1,8.353146825498083,8.353146825498083
1177,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1177,1177,1177,0.000874583480839502,1,8.353146825498083,8.353146825498083
117a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,117a,117a,117a,0.013562623684180672,2,7.353146825498083,14.706293650996166
117b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,117b,117b,117b,0.013562623684180672,2,7.353146825498083,14.706293650996166
118,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,118,118,118,0.01342949650401621,1,8.353146825498083,8.353146825498083
1180000,1,7,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1180000,1180000,1180000,0.000874583480839502,1,8.353146825498083,8.353146825498083
118233,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,118233,118233,118233,0.029939594356623953,1,8.353146825498083,8.353146825498083
1185,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1185,1185,1185,0.029939594356623953,1,8.353146825498083,8.353146825498083
1189,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1189,1189,1189,0.000874583480839502,1,8.353146825498083,8.353146825498083
119,2,3,4.578408682494225e-06,17.736722321395185,IN,2,"{'VB', 'IN'}",0,119,119,119,0.013562623684180672,2,7.353146825498083,14.706293650996166
1198,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1198,1198,1198,0.000874583480839502,1,8.353146825498083,8.353146825498083
11s,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,11,11s,11s,0.000874583480839502,1,8.353146825498083,8.353146825498083
11th,5,4,1.1446021706235564e-05,16.414794226507823,CD,1,{'CD'},0,11th,11th,11th,0.012636190838063442,3,6.768184324776926,20.30455297433078
12,9,2,2.0602839071224014e-05,15.566797319952872,CD,3,"{'CD', 'JJ', 'NN'}",0,12,12,12,0.03041166654654193,4,6.353146825498083,25.412587301992332
120,4,3,9.15681736498845e-06,16.736722321395185,CD,3,"{'CD', 'NNS', 'JJ'}",0,120,120,120,0.027125247368361343,2,7.353146825498083,14.706293650996166
1200,4,4,9.15681736498845e-06,16.736722321395185,CD,2,"{'CD', 'JJ'}",0,1200,1200,1200,0.011343926896978144,3,6.768184324776926,20.30455297433078
12000,2,5,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,12000,12000,12000,0.007723411086935827,2,7.353146825498083,14.706293650996166
120000,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,120000,120000,120000,0.000874583480839502,1,8.353146825498083,8.353146825498083
1200000,1,7,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1200000,1200000,1200000,0.000874583480839502,1,8.353146825498083,8.353146825498083
1201,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1201,1201,1201,0.000874583480839502,1,8.353146825498083,8.353146825498083
121,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,121,121,121,0.029939594356623953,1,8.353146825498083,8.353146825498083
122,4,3,9.15681736498845e-06,16.736722321395185,CD,3,"{'CD', 'JJ', 'NNP'}",0,122,122,122,0.03991798865012362,2,7.353146825498083,14.706293650996166
1228,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1228,1228,1228,0.000874583480839502,1,8.353146825498083,8.353146825498083
123,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,123,123,123,0.029939594356623953,1,8.353146825498083,8.353146825498083
123000,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,123000,123000,123000,0.000874583480839502,1,8.353146825498083,8.353146825498083
125,3,3,6.867613023741338e-06,17.15175982067403,CD,3,"{'CD', 'NNS', 'NN'}",0,125,125,125,0.01394756488538987,2,7.353146825498083,14.706293650996166
125000,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,125000,125000,125000,0.017012518992867785,1,8.353146825498083,8.353146825498083
126,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,126,126,126,0.017716662004883872,2,7.353146825498083,14.706293650996166
127,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,127,127,127,0.029939594356623953,1,8.353146825498083,8.353146825498083
1275,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1275,1275,1275,0.000874583480839502,1,8.353146825498083,8.353146825498083
128,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,128,128,128,0.017716662004883872,2,7.353146825498083,14.706293650996166
129,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,129,129,129,0.029939594356623953,1,8.353146825498083,8.353146825498083
1299,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1299,1299,1299,0.000874583480839502,1,8.353146825498083,8.353146825498083
12th,5,4,1.1446021706235564e-05,16.414794226507823,CD,1,{'CD'},0,12th,12th,12th,0.02348542142588928,4,6.353146825498083,25.412587301992332
13,14,2,3.204886077745958e-05,14.92936739933758,CD,3,"{'CD', 'JJ', 'NN'}",0,13,13,13,0.06797752500277683,3,6.768184324776926,20.30455297433078
130,5,3,1.1446021706235564e-05,16.414794226507823,CD,1,{'CD'},0,130,130,130,1.144675628380267,3,6.768184324776926,20.30455297433078
131,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,131,131,131,0.001749166961679004,1,8.353146825498083,8.353146825498083
1313,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1313,1313,1313,0.000874583480839502,1,8.353146825498083,8.353146825498083
1318,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1318,1318,1318,0.000874583480839502,1,8.353146825498083,8.353146825498083
131a,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,131a,131a,131a,0.013562623684180672,2,7.353146825498083,14.706293650996166
131b,2,4,4.578408682494225e-06,17.736722321395185,IN,2,"{'NNS', 'IN'}",0,131b,131b,131b,0.013562623684180672,2,7.353146825498083,14.706293650996166
132,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,132,132,132,0.059879188713247905,1,8.353146825498083,8.353146825498083
133,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,133,133,133,0.029939594356623953,1,8.353146825498083,8.353146825498083
134,3,3,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,134,134,134,0.030894344487855347,2,7.353146825498083,14.706293650996166
1349,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1349,1349,1349,0.029939594356623953,1,8.353146825498083,8.353146825498083
134a,2,4,4.578408682494225e-06,17.736722321395185,NN,2,"{'NN', 'NNP'}",0,134a,134a,134a,0.013562623684180672,2,7.353146825498083,14.706293650996166
134b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NNP'}",0,134b,134b,134b,0.013562623684180672,2,7.353146825498083,14.706293650996166
135,4,3,9.15681736498845e-06,16.736722321395185,CD,3,"{'CD', 'JJ', 'NNP'}",0,135,135,135,0.03991798865012362,2,7.353146825498083,14.706293650996166
136,3,3,6.867613023741338e-06,17.15175982067403,IN,3,"{'CD', 'NNS', 'IN'}",0,136,136,136,0.026740306167152148,2,7.353146825498083,14.706293650996166
137,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,137,137,137,0.029939594356623953,1,8.353146825498083,8.353146825498083
13710,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,13710,13710,13710,0.000874583480839502,1,8.353146825498083,8.353146825498083
137398,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,137398,137398,137398,0.029939594356623953,1,8.353146825498083,8.353146825498083
1379,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1379,1379,1379,0.000874583480839502,1,8.353146825498083,8.353146825498083
138,2,3,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,138,138,138,0.013562623684180672,2,7.353146825498083,14.706293650996166
139,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,139,139,139,0.029939594356623953,1,8.353146825498083,8.353146825498083
13th,6,4,1.3735226047482676e-05,16.15175982067403,CD,1,{'CD'},0,13th,13th,13th,0.030711680558232323,4,6.353146825498083,25.412587301992332
14,9,2,2.0602839071224014e-05,15.566797319952872,CD,2,"{'CD', 'VB'}",0,14,14,14,0.018761127312789776,3,6.768184324776926,20.30455297433078
140,6,3,1.3735226047482676e-05,16.15175982067403,CD,3,"{'CD', 'JJ', 'NNP'}",0,140,140,140,0.016232521840380904,4,6.353146825498083,25.412587301992332
1400,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1400,1400,1400,0.000874583480839502,1,8.353146825498083,8.353146825498083
14000,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,14000,14000,14000,0.000874583480839502,1,8.353146825498083,8.353146825498083
14000000,1,8,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,14000000,14000000,14000000,0.000874583480839502,1,8.353146825498083,8.353146825498083
141,4,3,9.15681736498845e-06,16.736722321395185,CD,3,"{'CD', 'JJ', 'NNP'}",0,141,141,141,0.03991798865012362,2,7.353146825498083,14.706293650996166
1413,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1413,1413,1413,0.000874583480839502,1,8.353146825498083,8.353146825498083
142,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,142,142,142,0.059879188713247905,1,8.353146825498083,8.353146825498083
1428,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1428,1428,1428,0.000874583480839502,1,8.353146825498083,8.353146825498083
143,4,3,9.15681736498845e-06,16.736722321395185,CD,1,{'CD'},0,143,143,143,0.027125247368361343,2,7.353146825498083,14.706293650996166
1435,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1435,1435,1435,0.000874583480839502,1,8.353146825498083,8.353146825498083
143a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NNP'}",0,143a,143a,143a,0.013562623684180672,2,7.353146825498083,14.706293650996166
143b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,143b,143b,143b,0.013562623684180672,2,7.353146825498083,14.706293650996166
144,2,3,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,144,144,144,0.013562623684180672,2,7.353146825498083,14.706293650996166
14437,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,14437,14437,14437,0.000874583480839502,1,8.353146825498083,8.353146825498083
145,2,3,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,145,145,145,0.013562623684180672,2,7.353146825498083,14.706293650996166
146,4,3,9.15681736498845e-06,16.736722321395185,CD,1,{'CD'},0,146,146,146,1.1444394163143479,3,6.768184324776926,20.30455297433078
1462,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1462,1462,1462,0.000874583480839502,1,8.353146825498083,8.353146825498083
1465,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1465,1465,1465,0.000874583480839502,1,8.353146825498083,8.353146825498083
147a,2,4,4.578408682494225e-06,17.736722321395185,VBP,2,"{'VBP', 'VB'}",0,147a,147a,147a,0.013562623684180672,2,7.353146825498083,14.706293650996166
147b,2,4,4.578408682494225e-06,17.736722321395185,VBZ,2,"{'JJ', 'VBZ'}",0,147b,147b,147b,0.013562623684180672,2,7.353146825498083,14.706293650996166
147c,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,147c,147c,147c,0.013562623684180672,2,7.353146825498083,14.706293650996166
148,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,148,148,148,0.059879188713247905,1,8.353146825498083,8.353146825498083
1486,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1486,1486,1486,0.004337044042314685,1,8.353146825498083,8.353146825498083
148a,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,148a,148a,148a,0.013562623684180672,2,7.353146825498083,14.706293650996166
148b,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,148b,148b,148b,0.013562623684180672,2,7.353146825498083,14.706293650996166
148c,2,4,4.578408682494225e-06,17.736722321395185,JJ,1,{'JJ'},0,148c,148c,148c,0.013562623684180672,2,7.353146825498083,14.706293650996166
149,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,149,149,149,0.029939594356623953,1,8.353146825498083,8.353146825498083
149a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,149a,149a,149a,0.013562623684180672,2,7.353146825498083,14.706293650996166
149b,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,149b,149b,149b,0.013562623684180672,2,7.353146825498083,14.706293650996166
149c,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NNP'}",0,149c,149c,149c,0.013562623684180672,2,7.353146825498083,14.706293650996166
14s,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,14,14s,14s,0.000874583480839502,1,8.353146825498083,8.353146825498083
14th,3,4,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,14th,14th,14th,0.01547617605341456,2,7.353146825498083,14.706293650996166
15,7,2,1.602443038872979e-05,15.92936739933758,CD,3,"{'CD', 'NNS', 'NN'}",0,15,15,15,0.019828244531885857,4,6.353146825498083,25.412587301992332
150,7,3,1.602443038872979e-05,15.92936739933758,CD,1,{'CD'},0,150,150,150,1.6082279352314055,4,6.353146825498083,25.412587301992332
15000,2,5,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,15000,15000,15000,0.001749166961679004,1,8.353146825498083,8.353146825498083
150000000,1,9,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,150000000,150000000,150000000,0.000874583480839502,1,8.353146825498083,8.353146825498083
151,4,3,9.15681736498845e-06,16.736722321395185,CD,3,"{'CD', 'JJ', 'NN'}",0,151,151,151,0.027125247368361343,2,7.353146825498083,14.706293650996166
1526,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1526,1526,1526,0.000874583480839502,1,8.353146825498083,8.353146825498083
152a,2,4,4.578408682494225e-06,17.736722321395185,VBP,2,"{'VBP', 'NN'}",0,152a,152a,152a,0.013562623684180672,2,7.353146825498083,14.706293650996166
152b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NNP'}",0,152b,152b,152b,0.013562623684180672,2,7.353146825498083,14.706293650996166
153,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,153,153,153,0.013562623684180672,2,7.353146825498083,14.706293650996166
153a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,153a,153a,153a,0.013562623684180672,2,7.353146825498083,14.706293650996166
153b,2,4,4.578408682494225e-06,17.736722321395185,IN,2,"{'JJ', 'IN'}",0,153b,153b,153b,0.013562623684180672,2,7.353146825498083,14.706293650996166
154,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,154,154,154,0.010312526945059361,1,8.353146825498083,8.353146825498083
15407,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,15407,15407,15407,0.029939594356623953,1,8.353146825498083,8.353146825498083
154a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NNP'}",0,154a,154a,154a,0.013562623684180672,2,7.353146825498083,14.706293650996166
154b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,154b,154b,154b,0.013562623684180672,2,7.353146825498083,14.706293650996166
155,5,3,1.1446021706235564e-05,16.414794226507823,CD,3,"{'CD', 'NN', 'VB'}",0,155,155,155,0.053095671133095095,2,7.353146825498083,14.706293650996166
1555,1,4,2.2892043412471126e-06,18.736722321395185,NNP,1,{'NNP'},0,1555,1555,1555,0.020373528842678252,1,8.353146825498083,8.353146825498083
156,3,3,6.867613023741338e-06,17.15175982067403,CD,3,"{'CD', 'JJ', 'NN'}",0,156,156,156,0.026740306167152148,2,7.353146825498083,14.706293650996166
156000,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,156000,156000,156000,0.000874583480839502,1,8.353146825498083,8.353146825498083
157a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,157a,157a,157a,0.013562623684180672,2,7.353146825498083,14.706293650996166
157b,2,4,4.578408682494225e-06,17.736722321395185,IN,2,"{'NNP', 'IN'}",0,157b,157b,157b,0.013562623684180672,2,7.353146825498083,14.706293650996166
